Title,URL,Deadline,Call For,Opportunity Status,Estimated Funding,Source,Year
Evaluating Whether a Concurrent Retinoid X Receptor Agonist can Enhance the Efficacy of the HER2-IGFPB2-IGF1R Vaccine in Eliminating Existing Ductal Carcinoma in Situ and Preventing Progression of Inv,https://reporter.nih.gov/project-details/261201500036I-0-26100009-2,Not specified,Research Grant,Awarded,"$930,464.00",NIH RePORTER,2023
"Transplantation of Adult, Tissue-Specific RPE Stem Cells for Non-exudative Age-related macular degeneration (AMD)",https://reporter.nih.gov/project-details/75N92020P00309-0-0-3,Not specified,Research Grant,Awarded,"$100,000.00",NIH RePORTER,2023
SURMOUNTING WITHDRAWAL TO INITIATE FAST TREATMENT WITH NALTREXONE (CTN-0097). DSC5 CONTRACT. 09/20/2019 - 11/23/2021. N01DA-19-2250.,https://reporter.nih.gov/project-details/75N95019D00013-0-759501900093-1,Not specified,Research Grant,Awarded,"$1,251,569.00",NIH RePORTER,2023
"NIDA DATA, STATISTICS, AND CLINICAL TRIAL SUPPORT CENTER MANAGEMENT AND SUPPORT. 03/01/2020 - 02/28/2021. N01DA-19-2250. TASK ORDER 75N95020F00001 (TO",https://reporter.nih.gov/project-details/75N95019D00013-P00002-759502000001-1,Not specified,Research Grant,Awarded,"$549,285.00",NIH RePORTER,2023
HIV Vaccine Production,https://reporter.nih.gov/project-details/N01AI95366-5-0-1,Not specified,Research Grant,Awarded,"$16,181.00",NIH RePORTER,2023
PROMOTING SCHOOL READINESS WITH PRESCHOOL CURRICULA: A MIXED-METHODS STUDY ,https://reporter.nih.gov/project-details/90YE0184-01,Not specified,Research Grant,Awarded,"$25,000.00",NIH RePORTER,2023
OPERATE THE DTP BIOLOGICAL DATA PROCESSING SYSTEM,https://reporter.nih.gov/project-details/N01CM057654-000,Not specified,Research Grant,Awarded,"$959,999.00",NIH RePORTER,2023
VIBRIO SPECIES IN MARKET LEVEL SEAFOOD AND COASTAL WATERS IN PUERTO RICO,https://reporter.nih.gov/project-details/5S06GM008159-14,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
COLONIC MOTOR SENSORY FUNCTION DURING HYPERVENTILATION,https://reporter.nih.gov/project-details/2M01RR000585-24,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
CLINICAL STUDIES--DETECTION OF THE PRETHROMBOTIC STATE,https://reporter.nih.gov/project-details/5P01HL033014-07,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
HEALTH CAREERS OPPORTUNITY PROGRAM,https://reporter.nih.gov/project-details/1D18MB001106-01,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
ANTI-THYMOCYTE GLOBULIN IN PROGRESSIVE SYSTEMIC SCLEROSIS,https://reporter.nih.gov/project-details/5M01RR000585-22,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
Structural and Cellular Biology of GPH Receptors,https://reporter.nih.gov/project-details/5R01HD018407-19,Not specified,Research Grant,Awarded,"$240,467.00",NIH RePORTER,2023
Elucidating novel molecular mechanisms of irisin-mediated effects via integrin,https://reporter.nih.gov/project-details/5F32DK132864-02,Not specified,Research Grant,Awarded,"$71,792.00",NIH RePORTER,2023
The mechanistic study on irisin-mediated immune response and its role in adipose tissue dynamics,https://reporter.nih.gov/project-details/1K01DK141969-01,Not specified,Research Grant,Awarded,"$152,454.00",NIH RePORTER,2023
EVALUATE EARLY VITRECTOMY IN DIABETIC RETINOPATHY,https://reporter.nih.gov/project-details/N01EY052143-011,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
PHOTOPERIOD & NEUROENDOCRINE CONTROL OF REPRODUCTIVE AXIS,https://reporter.nih.gov/project-details/5P51RR000163-37,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
MATURATION & AGING OF MALE REPRODUCTIVE AXIS,https://reporter.nih.gov/project-details/5P51RR000163-37,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
NEUROEXCITATORY CONTROL OF LUTEINIZING HORMONE RELEASING HORMONE SECRETION,https://reporter.nih.gov/project-details/5P51RR000163-37,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
APOLIPOPROTEIN E PLAQUES & ASTROGLIOSIS IN TEMPORAL CORTEX,https://reporter.nih.gov/project-details/5P51RR000163-37,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
AIDS-RELATED CHANGES IN THE BLOOD-BRAIN BARRIER,https://reporter.nih.gov/project-details/5P01NS026643-09,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
Mechanisms of Inflammasome Defense against Cytosol-invasive Bacteria,https://reporter.nih.gov/project-details/5K22AI132489-02,Not specified,Research Grant,Awarded,"$108,000.00",NIH RePORTER,2023
Pyroptotic Macrophages Traps Against Shigella Infection,https://reporter.nih.gov/project-details/5R21AI175731-02,Not specified,Research Grant,Awarded,"$191,250.00",NIH RePORTER,2023
Study of the Cell-specific Inflammasome Responses During Defense Against Gram-negative Bacteria,https://reporter.nih.gov/project-details/5P20GM103625-09,Not specified,Research Grant,Awarded,"$250,791.00",NIH RePORTER,2023
DDT-IST-000014: Progressing towards the Qualification Plan of AI-COA™ for Automated Depression and Anxiety Severity Measurement,https://reporter.nih.gov/project-details/1U01FD008130-01,Not specified,Research Grant,Awarded,"$249,366.00",NIH RePORTER,2023
Evolution of Abalone Egg Coat Proteins,https://reporter.nih.gov/project-details/1F32HD053185-01A2,Not specified,Research Grant,Awarded,"$49,646.00",NIH RePORTER,2023
ABALONE EGG COAT PROTEINS,https://reporter.nih.gov/project-details/5P41RR011823-12,Not specified,Research Grant,Awarded,"$5,572.00",NIH RePORTER,2023
Conserved Fetal Epigenomic and Metagenomic Signatures in a Primate Model of Maternal Obesity,https://reporter.nih.gov/project-details/2R01DK089201-06A1,Not specified,Research Grant,Awarded,"$664,282.00",NIH RePORTER,2023
Conserved Fetal Epigenomic Signatures in a Primate Model of Maternal Obesity,https://reporter.nih.gov/project-details/4R01DK089201-05,Not specified,Research Grant,Awarded,"$287,212.00",NIH RePORTER,2023
Source of the Placental Microbiome,https://reporter.nih.gov/project-details/5R01HD091731-04,Not specified,Research Grant,Awarded,"$668,167.00",NIH RePORTER,2023
Characterization of the Fetal Primate Epigenome and Metabolome Under In Utero,https://reporter.nih.gov/project-details/1DP2OD001500-01,Not specified,Research Grant,Awarded,"$2,302,500.00",NIH RePORTER,2023
Project 2: Investigating the role of PAH exposures associated with superfund site proximity in preterm birth etiology through placental transcriptomics and metagenomics,https://reporter.nih.gov/project-details/5P42ES027725-05,Not specified,Research Grant,Awarded,"$351,922.00",NIH RePORTER,2023
Impact of Hurricane Harvey on the Maternal and Infant Microbiome and Birth Outcomes,https://reporter.nih.gov/project-details/5R21ES029462-02,Not specified,Research Grant,Awarded,"$198,125.00",NIH RePORTER,2023
A Multi'omics Approach towards Deciphering the Influence of the Microbiome on Pre,https://reporter.nih.gov/project-details/5R01NR014792-03,Not specified,Research Grant,Awarded,"$527,051.00",NIH RePORTER,2023
Longitudinal Neural Imaging and Functional Resilience After Hurricane Harvey,https://reporter.nih.gov/project-details/3R21ES029462-02S1,Not specified,Research Grant,Awarded,"$802,801.00",NIH RePORTER,2023
Metformin in Pregnancy: Fetal Consequences & Long-term Offspring Outcomes in a NHP Model,https://reporter.nih.gov/project-details/5R01DK128187-03,Not specified,Research Grant,Awarded,"$1,421,433.00",NIH RePORTER,2023
PUBLIC EDUCATION,https://reporter.nih.gov/project-details/5P50AA003527-10,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
Study of Accessory Lacrimal Gland and Precursor Cell Biology,https://reporter.nih.gov/project-details/5K08EY024339-05,Not specified,Research Grant,Awarded,"$236,427.00",NIH RePORTER,2023
Novel Treatments for Ocular Surface Diseases,https://reporter.nih.gov/project-details/5R01EY029409-03,Not specified,Research Grant,Awarded,"$387,757.00",NIH RePORTER,2023
Cellular and Molecular Biology Core,https://reporter.nih.gov/project-details/2P30DK056341-21,Not specified,Research Grant,Awarded,"$177,852.00",NIH RePORTER,2023
Novel Treatments for Modulation of Innate Immunity in Veteran Related Eye Diseases,https://reporter.nih.gov/project-details/5I01BX004080-03,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
MOLECULAR CO-CRYSTALS: NEW SOLID FORMS FOR ANTI-CANCER DRUGS,https://reporter.nih.gov/project-details/5P20RR015563-10,Not specified,Research Grant,Awarded,"$60,957.00",NIH RePORTER,2023
Reducing Internalized Stigma among Veterans with PTSD: A Pilot Trial,https://reporter.nih.gov/project-details/1I21RX001432-01,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
Mobile Three-Dimensional Screening for Cranial Malformations,https://reporter.nih.gov/project-details/3R44DE031461-03S1,Not specified,Research Grant,Awarded,"$44,553.00",NIH RePORTER,2023
The USP Center for Drug Discovery and Conservation,https://reporter.nih.gov/project-details/5U19TW007401-11,Not specified,Research Grant,Awarded,"$184,659.00",NIH RePORTER,2023
AREA: Optimizing gene expression with mRNA free energy modeling and algorithms,https://reporter.nih.gov/project-details/1R15GM106372-01A1,Not specified,Research Grant,Awarded,"$255,304.00",NIH RePORTER,2023
"Splicing, Folding, and Stretching Nucleic Acids",https://reporter.nih.gov/project-details/1R15GM068485-01,Not specified,Research Grant,Awarded,"$155,183.00",NIH RePORTER,2023
Binding and Splicing mRNA,https://reporter.nih.gov/project-details/1R15GM080690-01,Not specified,Research Grant,Awarded,"$220,479.00",NIH RePORTER,2023
MEASLES OUTBREAK IN A FULLY VACCINATED SCHOOL POPULATION,https://reporter.nih.gov/project-details/1Z01BF003011-01,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
SYNTHETIC GENE CIRCUITS FOR MONITORING T-CELL EXHAUSTION,https://reporter.nih.gov/project-details/5F30CA236339-02,Not specified,Research Grant,Awarded,"$32,501.00",NIH RePORTER,2023
The Impact of Behavioral Health Treatment Among Adolescent Offenders,https://reporter.nih.gov/project-details/5R01HS024296-04,Not specified,Research Grant,Awarded,"$336,142.00",NIH RePORTER,2023
Disruptive Disorders & STD/HIV Risk in Adolescent Dyads,https://reporter.nih.gov/project-details/5K01MH066666-05,Not specified,Research Grant,Awarded,"$112,581.00",NIH RePORTER,2023
Alliance to Disseminate Addiction Prevention and Treatment (ADAPT): A Statewide Learning Health System to Reduce Substance Use among Justice-Involved Youth in Rural Communities.,https://reporter.nih.gov/project-details/3UG1DA050070-05S1,Not specified,Research Grant,Awarded,"$397,895.00",NIH RePORTER,2023
Improving adolescent health outcomes through preventive care transformation,https://reporter.nih.gov/project-details/1R01HS022681-01,Not specified,Research Grant,Awarded,"$1,499,691.00",NIH RePORTER,2023
Fatal Overdose Review Teams - Research to Enhance Surveillance Systems (FORTRESS),https://reporter.nih.gov/project-details/4R33DA057660-02,Not specified,Research Grant,Awarded,"$3,330,528.00",NIH RePORTER,2023
Design and Optimization of Clinical Gene Gun for Delivery of Nucleic Acid Vaccines,https://reporter.nih.gov/project-details/5R43AI140784-02,Not specified,Research Grant,Awarded,"$298,613.00",NIH RePORTER,2023
GENETIC VARIATION OF THE APOLIPOPROTEIN B,https://reporter.nih.gov/project-details/1F05TW004366-01,Not specified,Research Grant,Awarded,"$27,275.00",NIH RePORTER,2023
CHILD'S VIEW OF CARE DURING CANCER THERAPY,https://reporter.nih.gov/project-details/5R01NR001326-02,Not specified,Research Grant,Awarded,"$60,042.00",NIH RePORTER,2023
The Role of Histone Variant H3.3 and miR-128 in Learned Vocal Communication,https://reporter.nih.gov/project-details/5F31MH110209-03,Not specified,Research Grant,Awarded,"$36,626.00",NIH RePORTER,2023
"PAG 3, A REPRESSOR OF NEURONAL GENES IN C ELEGANS",https://reporter.nih.gov/project-details/1R01RR010296-01A2,Not specified,Research Grant,Awarded,"$158,835.00",NIH RePORTER,2023
MICROTUBULES AND THEIR ASSOCIATED PROTEINS IN C ELEGANS,https://reporter.nih.gov/project-details/1F32NS007738-01,Not specified,Research Grant,Awarded,"$20,004.00",NIH RePORTER,2023
MICROTUBULES AND THEIR ASSOCIATED PROTEINS,https://reporter.nih.gov/project-details/2F32NS007738-03,Not specified,Research Grant,Awarded,"$11,085.00",NIH RePORTER,2023
Recruitment of bone marrow-derived cells required for beta cell regeneration,https://reporter.nih.gov/project-details/5F30DK097921-04,Not specified,Research Grant,Awarded,"$39,720.00",NIH RePORTER,2023
ACTIVITY DEPENDENT DEVELOPMENT OF NMDA RECEPTOR FUNCTION,https://reporter.nih.gov/project-details/5F32NS009569-02,Not specified,Research Grant,Awarded,"$23,700.00",NIH RePORTER,2023
NMDA RECEPTOR PHARMACOLOGY IN AVIAN SONG LEARNING,https://reporter.nih.gov/project-details/1F31MH010320-01,Not specified,Research Grant,Awarded,"$11,800.00",NIH RePORTER,2023
